Severity,Issue Type,Sheet Row Number,Name,Arrondissement,Google Place ID,Field,Value,Affected Sheet Rows,Details
INFO,selected_missing_vibe,1539,Wingstop Paris 14 (livraison uniquement),14,ChIJU57p-sVx5kcRxWWxVxy4U2o,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1539,Wingstop Paris 14 (livraison uniquement),14,ChIJU57p-sVx5kcRxWWxVxy4U2o,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1541,Le Cornichon,14,ChIJi994frZx5kcRKNYXb8J4sEg,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1541,Le Cornichon,14,ChIJi994frZx5kcRKNYXb8J4sEg,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1541,Le Cornichon,14,ChIJi994frZx5kcRKNYXb8J4sEg,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1546,Armand Bar & Cantine,14,ChIJlxJkqstx5kcR8iPyxKeFn6I,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1546,Armand Bar & Cantine,14,ChIJlxJkqstx5kcR8iPyxKeFn6I,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1546,Armand Bar & Cantine,14,ChIJlxJkqstx5kcR8iPyxKeFn6I,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1548,L'As du Poulet,14,ChIJs1Hq1kxw5kcRDSZDrMlctKw,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1548,L'As du Poulet,14,ChIJs1Hq1kxw5kcRDSZDrMlctKw,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1548,L'As du Poulet,14,ChIJs1Hq1kxw5kcRDSZDrMlctKw,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1549,Augustin,14,ChIJjRK57rVx5kcRGrW2O9Bq6XQ,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1549,Augustin,14,ChIJjRK57rVx5kcRGrW2O9Bq6XQ,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1549,Augustin,14,ChIJjRK57rVx5kcRGrW2O9Bq6XQ,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1550,Aux Plumes,14,ChIJsVtS27Zx5kcRNPqIHyz4o-o,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1550,Aux Plumes,14,ChIJsVtS27Zx5kcRNPqIHyz4o-o,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1550,Aux Plumes,14,ChIJsVtS27Zx5kcRNPqIHyz4o-o,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_website,1604,Le P'tit Gavroche paris,15,ChIJLbe2iD5w5kcRfbS3cpp04L4,Website,,,Selected row has a blank Website; informational only.
INFO,selected_missing_features,1604,Le P'tit Gavroche paris,15,ChIJLbe2iD5w5kcRfbS3cpp04L4,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_features,1605,Au Bon Coin,15,ChIJRfoW-kNw5kcRboL23tIdBVc,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1606,Armonia,15,ChIJ17KKZyZx5kcRhBLlekYD1J0,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1606,Armonia,15,ChIJ17KKZyZx5kcRhBLlekYD1J0,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1606,Armonia,15,ChIJ17KKZyZx5kcRhBLlekYD1J0,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1607,Piou,15,ChIJtdLSaclx5kcRdQEZq_51GJE,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1607,Piou,15,ChIJtdLSaclx5kcRdQEZq_51GJE,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1607,Piou,15,ChIJtdLSaclx5kcRdQEZq_51GJE,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1609,Grand Pacific Buffet à volonté - Tour Eiffel,15,ChIJy14Vij5x5kcRDDlIwA6RxTI,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1609,Grand Pacific Buffet à volonté - Tour Eiffel,15,ChIJy14Vij5x5kcRDDlIwA6RxTI,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1609,Grand Pacific Buffet à volonté - Tour Eiffel,15,ChIJy14Vij5x5kcRDDlIwA6RxTI,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_website,1610,DO ET RIZ CONVENTION,15,ChIJ1d3bBwBx5kcRku8YoAGEL4w,Website,,,Selected row has a blank Website; informational only.
INFO,selected_missing_cuisine,1610,DO ET RIZ CONVENTION,15,ChIJ1d3bBwBx5kcRku8YoAGEL4w,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_features,1610,DO ET RIZ CONVENTION,15,ChIJ1d3bBwBx5kcRku8YoAGEL4w,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_features,1611,Restaurant Bistrot Le dôme Paris 15,15,ChIJ_RQ0_Xpx5kcRIirH9sGHO2Q,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1612,750g La Table,15,ChIJ-2rO0Wpw5kcRUxkyLZaRCmU,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1612,750g La Table,15,ChIJ-2rO0Wpw5kcRUxkyLZaRCmU,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1612,750g La Table,15,ChIJ-2rO0Wpw5kcRUxkyLZaRCmU,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_features,1613,Abstinence - Restaurant & Bar,15,ChIJiyWKCSpx5kcRrxn0lPzLc7k,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1614,Le Bélisaire,15,ChIJP4CTeD9w5kcRhPlltZPUhJM,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1614,Le Bélisaire,15,ChIJP4CTeD9w5kcRhPlltZPUhJM,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1614,Le Bélisaire,15,ChIJP4CTeD9w5kcRhPlltZPUhJM,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1615,Le Beurre Noisette,15,ChIJ35ar7nJw5kcRR2-Jh-Zj4Bs,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1615,Le Beurre Noisette,15,ChIJ35ar7nJw5kcRR2-Jh-Zj4Bs,Vibe,,,Selected row has a blank Vibe; informational only.
