Sheet Row Number,Name,Arrondissement,Favorite,Cuisine,Vibe,Features,Address,Postal Code,Website,Google Place ID,Latitude,Longitude
625,Lebon Caviste,17,,,,,"7 Rue Lebon, 75017 Paris, France",75017,,ChIJL4yfBCFv5kcRw9H0kPgSPe0,48.8807818,2.2921636
1870,Madame FAN,17,,,,,"18 Rue Bayen, 75017 Paris, France",75017,https://www.madame-fan.com/,ChIJFcnDoZNv5kcRWrrtZpwiK4w,48.8801402,2.294368
1827,Magnum 150cl,17,,,,,"1 Rue de Phalsbourg, 75017 Paris, France",75017,https://www.magnum150cl-restaurant.com/,ChIJGWA8cSVv5kcRPcxFuh4FhtU,48.8811426,2.3088791
1873,Maison Albar - Le Champs-Elysées,17,,wine_bar,casual,,"3 Av. Mac-Mahon, 75017 Paris, France",75017,http://mobile.maison-albar-hotel-paris-champs-elysees.com/home-fr.html,ChIJA0jlvuxv5kcRjwofQsFlVQ8,48.875466,2.294527
1828,Maison Rostang,17,,,,,"20 Rue Rennequin, 75017 Paris, France",75017,http://www.maisonrostang.com/en/home-2,ChIJNVJhNJRv5kcRPUWaSPU5KZg,48.881428,2.2984965
1829,Mallory Gabsi,17,,,,,"28 Rue des Acacias, 75017 Paris, France",75017,https://mallory-gabsi.com/,ChIJM4_nbTpv5kcRFJubN2v3Cpw,48.876754,2.2915184
1831,Mamma Primi,17,,,,,"18 Rue Boursault, 75017 Paris, France",75017,https://www.bigmammagroup.com/fr/trattorias/mamma-primi,ChIJPz-2wLNv5kcRVxQUyTcZQfw,48.8835725,2.3205759
1832,Mantchouk,17,,,,,"106 Bd de Courcelles, 75017 Paris, France",75017,https://www.petrossian.fr/fr_fr/blog/mantchouk,ChIJX6HbEOFv5kcRT5iMlwaDKYQ,48.8791481,2.3020348
1833,MELT Batignolles,17,,,,,"83 Rue Legendre, 75017 Paris, France",75017,https://restaurants.meltslowsmokedbarbecue.com/fr/restaurant-barbecue-texan/paris-17-legendre/,ChIJj_nF7K1v5kcRZUic5FL2UpE,48.8877739,2.3203012
1835,MIURA,17,,,,,"15 Rue de l'Arc de Triomphe, 75017 Paris, France",75017,https://www.restaurantmiura.com/,ChIJZyuVIxpv5kcRtkDmqst7tQ4,48.8771053,2.2934112
