Sheet Row Number,Name,Arrondissement,City,Postal Code,Status,Needs Review,Google Place ID,Latitude,Longitude,Exclusion Reasons,Location Concern
442,Pho Banh cuon 14 Beaubourg,4,Paris,75004,closed,FALSE,ChIJ9Ue2WNVv5kcRNgSPiGmOJgc,48.8598525,2.3508505,inactive,
448,Botanique,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
449,Homies Restaurant,4,Paris,75004,closed,FALSE,ChIJHcqhkRBx5kcRrrKzDhHKKsk,48.8535073,2.3645569,inactive,
450,Orgeuil,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
452,Patchanka,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
453,Il Goto Osteria d’Italia,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
459,Affinité,5,Paris,75005,closed,FALSE,ChIJW159qWhx5kcRfp3A6PEzz8M,48.8500128,2.3497364,inactive,
466,"La Demesure sur Seine – Restaurant, bar à coktail en bord de Seine. Quai de la Rapée. Paris 12eme",,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
473,Restaurant Bar à momos in Paris - Le Fooding®,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
478,Chinaski,5,Paris,75005,closed,FALSE,ChIJkamy2uRx5kcRkRuF-KWEYck,48.8402191,2.3503378,inactive,
479,Cucina Mutualité,5,Paris,75005,closed,FALSE,ChIJndzC28Nx5kcRoVTaEZa3KtE,48.8485595,2.3508061,inactive,
482,Restaurant Molly's Bar (75012 Paris) - Newtable.com,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
484,Noi,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
488,L'Angolo 42,5,Paris,75005,closed,FALSE,ChIJFbi9betx5kcRnSD9lKpPcHM,48.8378388,2.3473736,inactive,
490,L'invitée,5,Paris,75005,closed,FALSE,ChIJmWeNGMRx5kcRCJGHibFuScI,48.849994,2.3458868,inactive,
515,Rotisserie Sauvage,5,Paris,75005,closed,FALSE,ChIJLxTlUVhx5kcReQXOWTDBzUs,48.8395045,2.3496821,inactive,
522,Ephemera,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
526,Fi'lia,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
527,Mam'y Rosa,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
529,Torticho,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
534,Umami Burger,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
547,Ischia by Cyril Lignac,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
550,Restaurant Hotel Villa M,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
555,Rosé,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
563,Cinnamon,6,Paris,75006,closed,FALSE,ChIJre_8oY5x5kcR2GjMRukDXWU,48.8544348,2.3392143,inactive,
564,Claus - Saint-Germain-des-Prés,6,Paris,75006,closed,FALSE,ChIJrZWqFNlx5kcRuMOtGqwIJ0g,48.8525766,2.3366728,inactive,
565,Alan Geaam Le restaurant,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
571,Desi Road,6,Paris,75006,closed,FALSE,ChIJBylNQ99x5kcRYqBpR1D2xl4,48.8556687,2.3399168,inactive,
576,Ensemble,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
578,Hanami (Seasonal),,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
